threshold,mechanism,samples,accepted,fallback_count,fallback_rate,average_depth,layer_reduction,relative_flops,latency_mean,loss,deep_loss,relative_loss_increase,target_agreement,share_shallow,share_medium,share_deep,selected
0.0,depth,160,160,0,0.0,8.725,0.2729166666666667,0.7270833333333334,0.05191780687509886,6.225883519649505,3.9293001398444174,0.5844764456949889,0.7125,0.0875,0.64375,0.26875,False
0.4,depth,160,158,2,0.0125,8.8,0.2666666666666666,0.7333333333333333,0.05212882250007165,6.165316691994667,3.9293001398444174,0.5690622941923662,0.725,0.08125,0.6375,0.28125,True
0.5,depth,160,143,17,0.10625,9.05,0.24583333333333324,0.7541666666666668,0.05411864937505011,5.9770733878016475,3.9293001398444174,0.5211547031472921,0.725,0.08125,0.575,0.34375,False
0.6,depth,160,121,39,0.24375,9.45,0.21250000000000002,0.7875000000000001,0.05506616062493772,5.652278320491314,3.9293001398444174,0.4384949276781689,0.66875,0.075,0.4875,0.4375,False
0.7,depth,160,86,74,0.4625,10.125,0.15625,0.84375,0.05678928062516202,5.145520251989365,3.9293001398444174,0.3095258872724098,0.575,0.075,0.31875,0.60625,False
0.8,depth,160,40,120,0.75,11.175,0.06874999999999998,0.93125,0.05994142000072311,4.324263277649879,3.9293001398444174,0.1005174264496631,0.45,0.06875,0.06875,0.8625,False
0.0,full,160,160,0,0.0,8.725,0.2729166666666667,0.4979166666666667,0.04631161937440988,7.734987179934978,3.9293001398444174,0.9685406827286167,0.35,0.0875,0.64375,0.26875,False
0.4,full,160,158,2,0.0125,8.8,0.2666666666666666,0.5072916666666666,0.046524096874418275,7.656320469081402,3.9293001398444174,0.9485201426696201,0.3625,0.08125,0.6375,0.28125,False
0.5,full,160,143,17,0.10625,9.05,0.24583333333333324,0.5489583333333334,0.04799326062457108,7.309738871455193,3.9293001398444174,0.8603157334131837,0.3875,0.08125,0.575,0.34375,False
0.6,full,160,121,39,0.24375,9.45,0.21250000000000002,0.6125,0.04950668749997926,6.756470635533333,3.9293001398444174,0.7195099369021116,0.44375,0.075,0.4875,0.4375,False
0.7,full,160,86,74,0.4625,10.125,0.15625,0.7249999999999999,0.052259908125233734,5.798883609473705,3.9293001398444174,0.4758057168173757,0.55,0.075,0.31875,0.60625,False
0.8,full,160,40,120,0.75,11.175,0.06874999999999998,0.896875,0.057899296250525326,4.41159636080265,3.9293001398444174,0.122743543072108,0.70625,0.06875,0.06875,0.8625,False
